CCDS-r9	CCDS-r11	CCDS-r12	CCDS-r14	CCDS-r15
NEK4	NEK4	NEK4	NEK4	NEK4
ITIH1	ITIH1	ITIH1	ITIH1	ITIH1
ITIH4	ITIH4	ITIH4	ITIH4	ITIH4
TMEM110	TMEM110	TMEM110	TMEM110	TMEM110
SFMBT1	SFMBT1	SFMBT1	SFMBT1	SFMBT1
RFT1	RFT1	RFT1	RFT1	RFT1
PRKCD	PRKCD	PRKCD	PRKCD	PRKCD
TKT	TKT	TKT	TKT	TKT
CACNA1D	CACNA1D	CACNA1D	CACNA1D	CACNA1D
CHDH	CHDH	CHDH	CHDH	CHDH
IL17RB	IL17RB	IL17RB	IL17RB	IL17RB
ACTR8	ACTR8	ACTR8	ACTR8	ACTR8
LRTM1	LRTM1	LRTM1	LRTM1	LRTM1
FAM208A	FAM208A	FAM208A	FAM208A	FAM208A
ARHGEF3	ARHGEF3	ARHGEF3	ARHGEF3	ARHGEF3
SPATA12	SPATA12	SPATA12	SPATA12	SPATA12
IL17RD	IL17RD	IL17RD	IL17RD	IL17RD
HESX1	HESX1	HESX1	HESX1	HESX1
APPL1	APPL1	APPL1	APPL1	APPL1
ARF4	ARF4	ARF4	ARF4	ARF4
FLNB	FLNB	FLNB	FLNB	FLNB
DNASE1L3	DNASE1L3	DNASE1L3	DNASE1L3	DNASE1L3
ABHD6	ABHD6	ABHD6	ABHD6	ABHD6
RPP14	RPP14	RPP14	RPP14	RPP14
PXK	PXK	PXK	PXK	PXK
PDHB	PDHB	PDHB	PDHB	PDHB
KCTD6	KCTD6	KCTD6	KCTD6	KCTD6
FAM107A	FAM107A	FAM107A	FAM107A	FAM107A
FAM3D	FAM3D	FAM3D	FAM3D	FAM3D
FHIT	FHIT	FHIT	FHIT	FHIT
PTPRG	PTPRG	PTPRG	PTPRG	PTPRG
C3orf14	C3orf14	C3orf14	C3orf14	C3orf14
FEZF2	FEZF2	FEZF2	FEZF2	FEZF2
CADPS	CADPS	CADPS	CADPS	CADPS
THOC7	THOC7	THOC7	THOC7	THOC7
PSMD6	PSMD6	PSMD6	PSMD6	PSMD6
PRICKLE2	PRICKLE2	PRICKLE2	PRICKLE2	PRICKLE2
ADAMTS9	ADAMTS9	ADAMTS9	ADAMTS9	ADAMTS9
MAGI1	MAGI1	MAGI1	MAGI1	MAGI1
SLC25A26	SLC25A26	SLC25A26	SLC25A26	SLC25A26
KBTBD8	KBTBD8	KBTBD8	KBTBD8	KBTBD8
FAM19A4	FAM19A4	FAM19A4	FAM19A4	FAM19A4
EOGT	EOGT	EOGT	EOGT	EOGT
UBA3	UBA3	UBA3	UBA3	UBA3
ARL6IP5	ARL6IP5	ARL6IP5	ARL6IP5	ARL6IP5
MITF	MITF	MITF	MITF	MITF
FOXP1	FOXP1	FOXP1	FOXP1	FOXP1
GPR27	GPR27	GPR27	GPR27	GPR27
PROK2	PROK2	PROK2	PROK2	PROK2
PPP4R2	PPP4R2	PPP4R2	PPP4R2	PPP4R2
CHMP2B	CHMP2B	CHMP2B	CHMP2B	CHMP2B
POU1F1	POU1F1	POU1F1	POU1F1	POU1F1
HTR1F	HTR1F	HTR1F	HTR1F	HTR1F
C3orf38	C3orf38	C3orf38	C3orf38	C3orf38
EPHA3	EPHA3	EPHA3	EPHA3	EPHA3
PROS1	PROS1	PROS1	PROS1	PROS1
ARL13B	ARL13B	ARL13B	ARL13B	ARL13B
DHFRL1	DHFRL1	DHFRL1	DHFRL1	DHFRL1
NSUN3	NSUN3	NSUN3	NSUN3	NSUN3
ARL6	ARL6	ARL6	ARL6	ARL6
MINA	MINA	MINA	MINA	MINA
CLDND1	CLDND1	CLDND1	CLDND1	CLDND1
GPR15	GPR15	GPR15	GPR15	GPR15
CPOX	CPOX	CPOX	CPOX	CPOX
ST3GAL6	ST3GAL6	ST3GAL6	ST3GAL6	ST3GAL6
COL8A1	COL8A1	COL8A1	COL8A1	COL8A1
C3orf26	CMSS1	CMSS1	CMSS1	CMSS1
TBC1D23	TBC1D23	TBC1D23	TBC1D23	TBC1D23
TMEM45A	TMEM45A	TMEM45A	TMEM45A	TMEM45A
GPR128	GPR128	GPR128	GPR128	GPR128
TFG	TFG	TFG	TFG	TFG
IMPG2	IMPG2	IMPG2	IMPG2	IMPG2
SENP7	SENP7	SENP7	SENP7	SENP7
PCNP	PCNP	PCNP	PCNP	PCNP
ZBTB11	ZBTB11	ZBTB11	ZBTB11	ZBTB11
CEP97	CEP97	CEP97	CEP97	CEP97
NXPE3	NXPE3	NXPE3	NXPE3	NXPE3
NFKBIZ	NFKBIZ	NFKBIZ	NFKBIZ	NFKBIZ
ZPLD1	ZPLD1	ZPLD1	ZPLD1	ZPLD1
CBLB	CBLB	CBLB	CBLB	CBLB
CCDC54	CCDC54	CCDC54	CCDC54	CCDC54
BBX	BBX	BBX	BBX	BBX
IFT57	IFT57	IFT57	IFT57	IFT57
DZIP3	DZIP3	DZIP3	DZIP3	DZIP3
RETNLB	RETNLB	RETNLB	RETNLB	RETNLB
GUCA1C	GUCA1C	GUCA1C	GUCA1C	GUCA1C
MORC1	MORC1	MORC1	MORC1	MORC1
DPPA2	DPPA2	DPPA2	DPPA2	DPPA2
PVRL3	PVRL3	PVRL3	PVRL3	PVRL3
CD96	CD96	CD96	CD96	CD96
ZBED2	ZBED2	ZBED2	ZBED2	ZBED2
PLCXD2	PLCXD2	PLCXD2	PLCXD2	PLCXD2
PHLDB2	PHLDB2	PHLDB2	PHLDB2	PHLDB2
ABHD10	ABHD10	ABHD10	ABHD10	ABHD10
GCET2	GCSAM	GCSAM	GCSAM	GCSAM
CD200	CD200	CD200	CD200	CD200
ATG3	ATG3	ATG3	ATG3	ATG3
SLC35A5	SLC35A5	SLC35A5	SLC35A5	SLC35A5
CCDC80	CCDC80	CCDC80	CCDC80	CCDC80
CD200R1	CD200R1	CD200R1	CD200R1	CD200R1
BOC	BOC	BOC	BOC	BOC
WDR52	WDR52	WDR52	WDR52	WDR52
SPICE1	SPICE1	SPICE1	SPICE1	SPICE1
SIDT1	SIDT1	SIDT1	SIDT1	SIDT1
NAA50	NAA50	NAA50	NAA50	NAA50
ATP6V1A	ATP6V1A	ATP6V1A	ATP6V1A	ATP6V1A
KIAA1407	KIAA1407	KIAA1407	KIAA1407	KIAA1407
DRD3	DRD3	DRD3	DRD3	DRD3
ZNF80	ZNF80	ZNF80	ZNF80	ZNF80
TIGIT	TIGIT	TIGIT	TIGIT	TIGIT
ZBTB20	ZBTB20	ZBTB20	ZBTB20	ZBTB20
LSAMP	LSAMP	LSAMP	LSAMP	LSAMP
IGSF11	IGSF11	IGSF11	IGSF11	IGSF11
C3orf30	C3orf30	C3orf30	C3orf30	C3orf30
UPK1B	UPK1B	UPK1B	UPK1B	UPK1B
B4GALT4	B4GALT4	B4GALT4	B4GALT4	B4GALT4
TMEM39A	TMEM39A	TMEM39A	TMEM39A	TMEM39A
POGLUT1	POGLUT1	POGLUT1	POGLUT1	POGLUT1
CD80	CD80	CD80	CD80	CD80
ADPRH	ADPRH	ADPRH	ADPRH	ADPRH
PLA1A	PLA1A	PLA1A	PLA1A	PLA1A
POPDC2	POPDC2	POPDC2	POPDC2	POPDC2
COX17	COX17	COX17	COX17	COX17
C3orf15	MAATS1	MAATS1	MAATS1	MAATS1
NR1I2	NR1I2	NR1I2	NR1I2	NR1I2
GSK3B	GSK3B	GSK3B	GSK3B	GSK3B
GPR156	GPR156	GPR156	GPR156	GPR156
FSTL1	FSTL1	FSTL1	FSTL1	FSTL1
NDUFB4	NDUFB4	NDUFB4	NDUFB4	NDUFB4
HGD	HGD	HGD	HGD	HGD
RABL3	RABL3	RABL3	RABL3	RABL3
GTF2E1	GTF2E1	GTF2E1	GTF2E1	GTF2E1
HCLS1	HCLS1	HCLS1	HCLS1	HCLS1
GOLGB1	GOLGB1	GOLGB1	GOLGB1	GOLGB1
EAF2	EAF2	EAF2	EAF2	EAF2
SLC15A2	SLC15A2	SLC15A2	SLC15A2	SLC15A2
ILDR1	ILDR1	ILDR1	ILDR1	ILDR1
CD86	CD86	CD86	CD86	CD86
CASR	CASR	CASR	CASR	CASR
CSTA	CSTA	CSTA	CSTA	CSTA
WDR5B	WDR5B	WDR5B	WDR5B	WDR5B
KPNA1	KPNA1	KPNA1	KPNA1	KPNA1
PARP9	PARP9	PARP9	PARP9	PARP9
DTX3L	DTX3L	DTX3L	DTX3L	DTX3L
PARP15	PARP15	PARP15	PARP15	PARP15
HSPBAP1	HSPBAP1	HSPBAP1	HSPBAP1	HSPBAP1
DIRC2	DIRC2	DIRC2	DIRC2	DIRC2
PDIA5	PDIA5	PDIA5	PDIA5	PDIA5
SEC22A	SEC22A	SEC22A	SEC22A	SEC22A
ADCY5	ADCY5	ADCY5	ADCY5	ADCY5
MYLK	MYLK	MYLK	MYLK	MYLK
CCDC14	CCDC14	CCDC14	CCDC14	CCDC14
ROPN1	ROPN1	ROPN1	ROPN1	ROPN1
KALRN	KALRN	KALRN	KALRN	KALRN
UMPS	UMPS	UMPS	UMPS	UMPS
ITGB5	ITGB5	ITGB5	ITGB5	ITGB5
ZNF148	ZNF148	ZNF148	ZNF148	ZNF148
SNX4	SNX4	SNX4	SNX4	SNX4
OSBPL11	OSBPL11	OSBPL11	OSBPL11	OSBPL11
ALDH1L1	ALDH1L1	ALDH1L1	ALDH1L1	ALDH1L1
KLF15	KLF15	KLF15	KLF15	KLF15
CCDC37	CCDC37	CCDC37	CCDC37	CCDC37
UROC1	UROC1	UROC1	UROC1	UROC1
CHST13	CHST13	CHST13	CHST13	CHST13
C3orf22	C3orf22	C3orf22	C3orf22	C3orf22
CHCHD6	CHCHD6	CHCHD6	CHCHD6	CHCHD6
TPRA1	TPRA1	TPRA1	TPRA1	TPRA1
MCM2	MCM2	MCM2	MCM2	MCM2
PODXL2	PODXL2	PODXL2	PODXL2	PODXL2
ABTB1	ABTB1	ABTB1	ABTB1	ABTB1
SEC61A1	SEC61A1	SEC61A1	SEC61A1	SEC61A1
RUVBL1	RUVBL1	RUVBL1	RUVBL1	RUVBL1
DNAJB8	DNAJB8	DNAJB8	DNAJB8	DNAJB8
GATA2	GATA2	GATA2	GATA2	GATA2
C3orf27	C3orf27	C3orf27	C3orf27	C3orf27
RPN1	RPN1	RPN1	RPN1	RPN1
RAB7A	RAB7A	RAB7A	RAB7A	RAB7A
ACAD9	ACAD9	ACAD9	ACAD9	ACAD9
CCDC48	CCDC48	EFCC1	EFCC1	EFCC1
GP9	GP9	GP9	GP9	GP9
CNBP	CNBP	CNBP	CNBP	CNBP
H1FX	H1FX	H1FX	H1FX	H1FX
MBD4	MBD4	MBD4	MBD4	MBD4
IFT122	IFT122	IFT122	IFT122	IFT122
RHO	RHO	RHO	RHO	RHO
H1FOO	H1FOO	H1FOO	H1FOO	H1FOO
TRH	TRH	TRH	TRH	TRH
PIK3R4	PIK3R4	PIK3R4	PIK3R4	PIK3R4
ASTE1	ASTE1	ASTE1	ASTE1	ASTE1
NEK11	NEK11	NEK11	NEK11	NEK11
NUDT16	NUDT16	NUDT16	NUDT16	NUDT16
MRPL3	MRPL3	MRPL3	MRPL3	MRPL3
CPNE4	CPNE4	CPNE4	CPNE4	CPNE4
ACPP	ACPP	ACPP	ACPP	ACPP
ACAD11	ACAD11	ACAD11	ACAD11	ACAD11
CCRL1	CCRL1	ACKR4	ACKR4	ACKR4
UBA5	UBA5	UBA5	UBA5	UBA5
NPHP3	NPHP3	NPHP3	NPHP3	NPHP3
CDV3	CDV3	CDV3	CDV3	CDV3
TF	TF	TF	TF	TF
SRPRB	SRPRB	SRPRB	SRPRB	SRPRB
RAB6B	RAB6B	RAB6B	RAB6B	RAB6B
C3orf36	C3orf36	C3orf36	C3orf36	C3orf36
SLCO2A1	SLCO2A1	SLCO2A1	SLCO2A1	SLCO2A1
ANAPC13	ANAPC13	ANAPC13	ANAPC13	ANAPC13
CEP63	CEP63	CEP63	CEP63	CEP63
PPP2R3A	PPP2R3A	PPP2R3A	PPP2R3A	PPP2R3A
PCCB	PCCB	PCCB	PCCB	PCCB
STAG1	STAG1	STAG1	STAG1	STAG1
SLC35G2	SLC35G2	SLC35G2	SLC35G2	SLC35G2
NCK1	NCK1	NCK1	NCK1	NCK1
IL20RB	IL20RB	IL20RB	IL20RB	IL20RB
SOX14	SOX14	SOX14	SOX14	SOX14
CLDN18	CLDN18	CLDN18	CLDN18	CLDN18
DZIP1L	DZIP1L	DZIP1L	DZIP1L	DZIP1L
A4GNT	A4GNT	A4GNT	A4GNT	A4GNT
ARMC8	ARMC8	ARMC8	ARMC8	ARMC8
NME9	NME9	NME9	NME9	NME9
MRAS	MRAS	MRAS	MRAS	MRAS
ESYT3	ESYT3	ESYT3	ESYT3	ESYT3
CEP70	CEP70	CEP70	CEP70	CEP70
FAIM	FAIM	FAIM	FAIM	FAIM
PIK3CB	PIK3CB	PIK3CB	PIK3CB	PIK3CB
FOXL2	FOXL2	FOXL2	FOXL2	FOXL2
MRPS22	MRPS22	MRPS22	MRPS22	MRPS22
COPB2	COPB2	COPB2	COPB2	COPB2
RBP2	RBP2	RBP2	RBP2	RBP2
RBP1	RBP1	RBP1	RBP1	RBP1
NMNAT3	NMNAT3	NMNAT3	NMNAT3	NMNAT3
CLSTN2	CLSTN2	CLSTN2	CLSTN2	CLSTN2
TRIM42	TRIM42	TRIM42	TRIM42	TRIM42
SLC25A36	SLC25A36	SLC25A36	SLC25A36	SLC25A36
SPSB4	SPSB4	SPSB4	SPSB4	SPSB4
ACPL2	ACPL2	ACPL2	ACPL2	ACPL2
RASA2	RASA2	RASA2	RASA2	RASA2
RNF7	RNF7	RNF7	RNF7	RNF7
GRK7	GRK7	GRK7	GRK7	GRK7
ATP1B3	ATP1B3	ATP1B3	ATP1B3	ATP1B3
XRN1	XRN1	XRN1	XRN1	XRN1
ATR	ATR	ATR	ATR	ATR
PLS1	PLS1	PLS1	PLS1	PLS1
TRPC1	TRPC1	TRPC1	TRPC1	TRPC1
PCOLCE2	PCOLCE2	PCOLCE2	PCOLCE2	PCOLCE2
PAQR9	PAQR9	PAQR9	PAQR9	PAQR9
CHST2	CHST2	CHST2	CHST2	CHST2
C3orf58	C3orf58	C3orf58	C3orf58	C3orf58
PLOD2	PLOD2	PLOD2	PLOD2	PLOD2
PLSCR4	PLSCR4	PLSCR4	PLSCR4	PLSCR4
PLSCR1	PLSCR1	PLSCR1	PLSCR1	PLSCR1
ZIC1	ZIC1	ZIC1	ZIC1	ZIC1
AGTR1	AGTR1	AGTR1	AGTR1	AGTR1
CPA3	CPA3	CPA3	CPA3	CPA3
GYG1	GYG1	GYG1	GYG1	GYG1
HPS3	HPS3	HPS3	HPS3	HPS3
CP	CP	CP	CP	CP
TM4SF18	TM4SF18	TM4SF18	TM4SF18	TM4SF18
TM4SF1	TM4SF1	TM4SF1	TM4SF1	TM4SF1
WWTR1	WWTR1	WWTR1	WWTR1	WWTR1
COMMD2	COMMD2	COMMD2	COMMD2	COMMD2
RNF13	RNF13	RNF13	RNF13	RNF13
PFN2	PFN2	PFN2	PFN2	PFN2
TSC22D2	TSC22D2	TSC22D2	TSC22D2	TSC22D2
SERP1	SERP1	SERP1	SERP1	SERP1
FAM194A	FAM194A	FAM194A	FAM194A	FAM194A
SIAH2	SIAH2	SIAH2	SIAH2	SIAH2
CLRN1	CLRN1	CLRN1	CLRN1	CLRN1
GPR171	GPR171	GPR171	GPR171	GPR171
P2RY14	P2RY14	P2RY14	P2RY14	P2RY14
GPR87	GPR87	GPR87	GPR87	GPR87
P2RY13	P2RY13	P2RY13	P2RY13	P2RY13
P2RY12	P2RY12	P2RY12	P2RY12	P2RY12
IGSF10	IGSF10	IGSF10	IGSF10	IGSF10
AADACL2	AADACL2	AADACL2	AADACL2	AADACL2
SUCNR1	SUCNR1	SUCNR1	SUCNR1	SUCNR1
MBNL1	MBNL1	MBNL1	MBNL1	MBNL1
P2RY1	P2RY1	P2RY1	P2RY1	P2RY1
RAP2B	RAP2B	RAP2B	RAP2B	RAP2B
DHX36	DHX36	DHX36	DHX36	DHX36
MME	MME	MME	MME	MME
SLC33A1	SLC33A1	SLC33A1	SLC33A1	SLC33A1
KCNAB1	KCNAB1	KCNAB1	KCNAB1	KCNAB1
SSR3	SSR3	SSR3	SSR3	SSR3
TIPARP	TIPARP	TIPARP	TIPARP	TIPARP
CCNL1	CCNL1	CCNL1	CCNL1	CCNL1
VEPH1	VEPH1	VEPH1	VEPH1	VEPH1
PTX3	PTX3	PTX3	PTX3	PTX3
RSRC1	RSRC1	RSRC1	RSRC1	RSRC1
MLF1	MLF1	MLF1	MLF1	MLF1
LXN	LXN	LXN	LXN	LXN
RARRES1	RARRES1	RARRES1	RARRES1	RARRES1
MFSD1	MFSD1	MFSD1	MFSD1	MFSD1
SCHIP1	SCHIP1	SCHIP1	SCHIP1	SCHIP1
IL12A	IL12A	IL12A	IL12A	IL12A
IFT80	IFT80	IFT80	IFT80	IFT80
SMC4	SMC4	SMC4	SMC4	SMC4
TRIM59	TRIM59	TRIM59	TRIM59	TRIM59
KPNA4	KPNA4	KPNA4	KPNA4	KPNA4
ARL14	ARL14	ARL14	ARL14	ARL14
B3GALNT1	B3GALNT1	B3GALNT1	B3GALNT1	B3GALNT1
NMD3	NMD3	NMD3	NMD3	NMD3
SI	SI	SI	SI	SI
SLITRK3	SLITRK3	SLITRK3	SLITRK3	SLITRK3
BCHE	BCHE	BCHE	BCHE	BCHE
ZBBX	ZBBX	ZBBX	ZBBX	ZBBX
SERPINI2	SERPINI2	SERPINI2	SERPINI2	SERPINI2
WDR49	WDR49	WDR49	WDR49	WDR49
PDCD10	PDCD10	PDCD10	PDCD10	PDCD10
SERPINI1	SERPINI1	SERPINI1	SERPINI1	SERPINI1
GOLIM4	GOLIM4	GOLIM4	GOLIM4	GOLIM4
MECOM	MECOM	MECOM	MECOM	MECOM
ACTRT3	ACTRT3	ACTRT3	ACTRT3	ACTRT3
MYNN	MYNN	MYNN	MYNN	MYNN
LRRC34	LRRC34	LRRC34	LRRC34	LRRC34
SAMD7	SAMD7	SAMD7	SAMD7	SAMD7
SEC62	SEC62	SEC62	SEC62	SEC62
GPR160	GPR160	GPR160	GPR160	GPR160
PRKCI	PRKCI	PRKCI	PRKCI	PRKCI
CLDN11	CLDN11	CLDN11	CLDN11	CLDN11
EIF5A2	EIF5A2	EIF5A2	EIF5A2	EIF5A2
SLC2A2	SLC2A2	SLC2A2	SLC2A2	SLC2A2
PLD1	PLD1	PLD1	PLD1	PLD1
FNDC3B	FNDC3B	FNDC3B	FNDC3B	FNDC3B
GHSR	GHSR	GHSR	GHSR	GHSR
TNFSF10	TNFSF10	TNFSF10	TNFSF10	TNFSF10
ECT2	ECT2	ECT2	ECT2	ECT2
SPATA16	SPATA16	SPATA16	SPATA16	SPATA16
NLGN1	NLGN1	NLGN1	NLGN1	NLGN1
KCNMB2	KCNMB2	KCNMB2	KCNMB2	KCNMB2
ZMAT3	ZMAT3	ZMAT3	ZMAT3	ZMAT3
KCNMB3	KCNMB3	KCNMB3	KCNMB3	KCNMB3
ZNF639	ZNF639	ZNF639	ZNF639	ZNF639
MFN1	MFN1	MFN1	MFN1	MFN1
GNB4	GNB4	GNB4	GNB4	GNB4
ACTL6A	ACTL6A	ACTL6A	ACTL6A	ACTL6A
MRPL47	MRPL47	MRPL47	MRPL47	MRPL47
NDUFB5	NDUFB5	NDUFB5	NDUFB5	NDUFB5
USP13	USP13	USP13	USP13	USP13
PEX5L	PEX5L	PEX5L	PEX5L	PEX5L
TTC14	TTC14	TTC14	TTC14	TTC14
FXR1	FXR1	FXR1	FXR1	FXR1
SOX2	SOX2	SOX2	SOX2	SOX2
DCUN1D1	DCUN1D1	DCUN1D1	DCUN1D1	DCUN1D1
MCCC1	MCCC1	MCCC1	MCCC1	MCCC1
LAMP3	LAMP3	LAMP3	LAMP3	LAMP3
MCF2L2	MCF2L2	MCF2L2	MCF2L2	MCF2L2
B3GNT5	B3GNT5	B3GNT5	B3GNT5	B3GNT5
KLHL6	KLHL6	KLHL6	KLHL6	KLHL6
KLHL24	KLHL24	KLHL24	KLHL24	KLHL24
MAP6D1	MAP6D1	MAP6D1	MAP6D1	MAP6D1
PARL	PARL	PARL	PARL	PARL
HTR3D	HTR3D	HTR3D	HTR3D	HTR3D
HTR3C	HTR3C	HTR3C	HTR3C	HTR3C
HTR3E	HTR3E	HTR3E	HTR3E	HTR3E
EIF2B5	EIF2B5	EIF2B5	EIF2B5	EIF2B5
DVL3	DVL3	DVL3	DVL3	DVL3
ABCF3	ABCF3	ABCF3	ABCF3	ABCF3
ECE2	ECE2	ECE2	ECE2	ECE2
CAMK2N2	CAMK2N2	CAMK2N2	CAMK2N2	CAMK2N2
PSMD2	PSMD2	PSMD2	PSMD2	PSMD2
EIF4G1	EIF4G1	EIF4G1	EIF4G1	EIF4G1
FAM131A	FAM131A	FAM131A	FAM131A	FAM131A
CLCN2	CLCN2	CLCN2	CLCN2	CLCN2
POLR2H	POLR2H	POLR2H	POLR2H	POLR2H
THPO	THPO	THPO	THPO	THPO
CHRD	CHRD	CHRD	CHRD	CHRD
EPHB3	EPHB3	EPHB3	EPHB3	EPHB3
MAGEF1	MAGEF1	MAGEF1	MAGEF1	MAGEF1
MAP3K13	MAP3K13	MAP3K13	MAP3K13	MAP3K13
TMEM41A	TMEM41A	TMEM41A	TMEM41A	TMEM41A
LIPH	LIPH	LIPH	LIPH	LIPH
IGF2BP2	IGF2BP2	IGF2BP2	IGF2BP2	IGF2BP2
DGKG	DGKG	DGKG	DGKG	DGKG
CRYGS	CRYGS	CRYGS	CRYGS	CRYGS
TBCCD1	TBCCD1	TBCCD1	TBCCD1	TBCCD1
DNAJB11	DNAJB11	DNAJB11	DNAJB11	DNAJB11
AHSG	AHSG	AHSG	AHSG	AHSG
FETUB	FETUB	FETUB	FETUB	FETUB
HRG	HRG	HRG	HRG	HRG
KNG1	KNG1	KNG1	KNG1	KNG1
EIF4A2	EIF4A2	EIF4A2	EIF4A2	EIF4A2
RFC4	RFC4	RFC4	RFC4	RFC4
ADIPOQ	ADIPOQ	ADIPOQ	ADIPOQ	ADIPOQ
ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1
RPL39L	RPL39L	RPL39L	RPL39L	RPL39L
RTP1	RTP1	RTP1	RTP1	RTP1
SST	SST	SST	SST	SST
BCL6	BCL6	BCL6	BCL6	BCL6
LPP	LPP	LPP	LPP	LPP
TPRG1	TPRG1	TPRG1	TPRG1	TPRG1
TP63	TP63	TP63	TP63	TP63
LEPREL1	LEPREL1	LEPREL1	LEPREL1	LEPREL1
CLDN1	CLDN1	CLDN1	CLDN1	CLDN1
CLDN16	CLDN16	CLDN16	CLDN16	CLDN16
TMEM207	TMEM207	TMEM207	TMEM207	TMEM207
IL1RAP	IL1RAP	IL1RAP	IL1RAP	IL1RAP
OSTN	OSTN	OSTN	OSTN	OSTN
UTS2D	UTS2D	UTS2B	UTS2B	UTS2B
FGF12	FGF12	FGF12	FGF12	FGF12
MB21D2	MB21D2	MB21D2	MB21D2	MB21D2
HRASLS	HRASLS	HRASLS	HRASLS	HRASLS
ATP13A4	ATP13A4	ATP13A4	ATP13A4	ATP13A4
HES1	HES1	HES1	HES1	HES1
LRRC15	LRRC15	LRRC15	LRRC15	LRRC15
GP5	GP5	GP5	GP5	GP5
TMEM44	TMEM44	TMEM44	TMEM44	TMEM44
PPP1R2	PPP1R2	PPP1R2	PPP1R2	PPP1R2
MUC4	MUC4	MUC4	MUC4	MUC4
TFRC	TFRC	TFRC	TFRC	TFRC
OSTalpha	SLC51A	SLC51A	SLC51A	SLC51A
PCYT1A	PCYT1A	PCYT1A	PCYT1A	PCYT1A
TM4SF19	TM4SF19	TM4SF19	TM4SF19	TM4SF19
RNF168	RNF168	RNF168	RNF168	RNF168
WDR53	WDR53	WDR53	WDR53	WDR53
LRRC33	LRRC33	NRROS	NRROS	NRROS
PIGX	PIGX	PIGX	PIGX	PIGX
PAK2	PAK2	PAK2	PAK2	PAK2
SENP5	SENP5	SENP5	SENP5	SENP5
NCBP2	NCBP2	NCBP2	NCBP2	NCBP2
PIGZ	PIGZ	PIGZ	PIGZ	PIGZ
MFI2	MFI2	MFI2	MFI2	MFI2
DLG1	DLG1	DLG1	DLG1	DLG1
BDH1	BDH1	BDH1	BDH1	BDH1
FYTTD1	FYTTD1	FYTTD1	FYTTD1	FYTTD1
LRCH3	LRCH3	LRCH3	LRCH3	LRCH3
IQCG	IQCG	IQCG	IQCG	IQCG
LMLN	LMLN	LMLN	LMLN	LMLN
PIGG	PIGG	PIGG	PIGG	PIGG
ATP5I	ATP5I	ATP5I	ATP5I	ATP5I
MFSD7	MFSD7	MFSD7	MFSD7	MFSD7
PCGF3	PCGF3	PCGF3	PCGF3	PCGF3
GAK	GAK	GAK	GAK	GAK
TMEM175	TMEM175	TMEM175	TMEM175	TMEM175
DGKQ	DGKQ	DGKQ	DGKQ	DGKQ
IDUA	IDUA	IDUA	IDUA	IDUA
FGFRL1	FGFRL1	FGFRL1	FGFRL1	FGFRL1
RNF212	RNF212	RNF212	RNF212	RNF212
SPON2	SPON2	SPON2	SPON2	SPON2
CTBP1	CTBP1	CTBP1	CTBP1	CTBP1
CRIPAK	CRIPAK	CRIPAK	CRIPAK	CRIPAK
SLBP	SLBP	SLBP	SLBP	SLBP
TMEM129	TMEM129	TMEM129	TMEM129	TMEM129
TACC3	TACC3	TACC3	TACC3	TACC3
FGFR3	FGFR3	FGFR3	FGFR3	FGFR3
LETM1	LETM1	LETM1	LETM1	LETM1
WHSC1	WHSC1	WHSC1	WHSC1	WHSC1
WHSC2	WHSC2	NELFA	NELFA	NELFA
NAT8L	NAT8L	NAT8L	NAT8L	NAT8L
POLN	POLN	POLN	POLN	POLN
MXD4	MXD4	MXD4	MXD4	MXD4
TNIP2	TNIP2	TNIP2	TNIP2	TNIP2
ADD1	ADD1	ADD1	ADD1	ADD1
MFSD10	MFSD10	MFSD10	MFSD10	MFSD10
RGS12	RGS12	RGS12	RGS12	RGS12
HGFAC	HGFAC	HGFAC	HGFAC	HGFAC
DOK7	DOK7	DOK7	DOK7	DOK7
LRPAP1	LRPAP1	LRPAP1	LRPAP1	LRPAP1
OTOP1	OTOP1	OTOP1	OTOP1	OTOP1
TMEM128	TMEM128	TMEM128	TMEM128	TMEM128
LYAR	LYAR	LYAR	LYAR	LYAR
ZBTB49	ZBTB49	ZBTB49	ZBTB49	ZBTB49
D4S234E	NSG1	NSG1	NSG1	NSG1
STX18	STX18	STX18	STX18	STX18
MSX1	MSX1	MSX1	MSX1	MSX1
CYTL1	CYTL1	CYTL1	CYTL1	CYTL1
STK32B	STK32B	STK32B	STK32B	STK32B
C4orf6	C4orf6	C4orf6	C4orf6	C4orf6
EVC2	EVC2	EVC2	EVC2	EVC2
EVC	EVC	EVC	EVC	EVC
JAKMIP1	JAKMIP1	JAKMIP1	JAKMIP1	JAKMIP1
WFS1	WFS1	WFS1	WFS1	WFS1
PPP2R2C	PPP2R2C	PPP2R2C	PPP2R2C	PPP2R2C
MRFAP1	MRFAP1	MRFAP1	MRFAP1	MRFAP1
S100P	S100P	S100P	S100P	S100P
MRFAP1L1	MRFAP1L1	MRFAP1L1	MRFAP1L1	MRFAP1L1
CNO	BLOC1S4	BLOC1S4	BLOC1S4	BLOC1S4
TBC1D14	TBC1D14	TBC1D14	TBC1D14	TBC1D14
CCDC96	CCDC96	CCDC96	CCDC96	CCDC96
GRPEL1	GRPEL1	GRPEL1	GRPEL1	GRPEL1
AFAP1	AFAP1	AFAP1	AFAP1	AFAP1
SH3TC1	SH3TC1	SH3TC1	SH3TC1	SH3TC1
